episode,steps,reward,reward100,reward50,reward10,mean_s_q,mean_t_q,mean_td_error,mean_h_error,action_count0,mean_wg,median_wg,max_wg,min_wg
488,88146,-0.3709,-10.0,-8.1,-8.7,-1.80763,-1.74773,-0.00576619,0.0231392,181,4.62563e-06,7.37976e-07,5.06272e-05,0.0
492,88870,-0.0755,-9.5,-7.4,-9.4,-1.77126,-1.7269,-0.00320185,0.0110529,181,5.78054e-06,9.12877e-07,7.9283e-05,0.0
496,89594,-0.001,-9.3,-7.4,-10.1,-1.58519,-1.54393,-0.0151766,0.0204872,181,5.54411e-06,8.12521e-07,7.1783e-05,0.0
500,90318,-0.366833333333,-9.8,-9.0,-13.7,-2.02513,-1.92503,0.00265807,0.0198544,181,6.46847e-06,1.05576e-06,7.96772e-05,0.0
504,91042,-0.0013,-9.9,-9.1,-15.2,-1.74009,-1.67413,-0.0043979,0.0146162,181,6.4609e-06,1.00467e-06,0.000113295,0.0
508,91766,-0.0077,-9.2,-8.8,-11.1,-1.78288,-1.73912,-0.00916179,0.0186007,181,6.44488e-06,1.08419e-06,8.57892e-05,0.0
512,92490,-0.1439,-9.6,-9.7,-10.7,-1.86751,-1.78398,0.00227604,0.024235,181,5.29821e-06,8.82816e-07,7.28003e-05,0.0
516,93214,-0.0530333333333,-9.4,-9.8,-11.5,-1.80038,-1.71695,-0.00937379,0.0256929,181,3.57415e-06,5.57879e-07,6.53901e-05,0.0
520,93938,-0.0015,-9.8,-10.9,-16.8,-2.1393,-2.05007,-0.00696873,0.0239116,181,9.46713e-06,1.43344e-06,0.000150563,0.0
524,94662,-0.0007,-9.9,-11.2,-13.6,-2.25939,-2.20427,-0.00938753,0.0291627,181,1.28954e-05,1.96851e-06,0.000177452,0.0
528,95386,-0.0856666666667,-9.9,-10.6,-9.5,-2.01425,-1.97,-0.018318,0.0330772,181,7.04121e-06,1.10302e-06,0.000143133,0.0
532,96110,-0.0015,-9.0,-10.7,-6.3,-1.8068,-1.7645,-0.0237276,0.03158,181,3.03689e-06,4.47622e-07,5.21955e-05,0.0
536,96834,-0.125,-9.0,-10.7,-6.5,-1.66545,-1.63578,-0.00405353,0.021392,181,3.16888e-06,5.02191e-07,3.59351e-05,0.0
540,97558,-0.0378,-9.5,-11.2,-11.7,-2.21417,-2.09204,-0.0271828,0.0282667,181,4.21912e-06,7.54453e-07,8.30417e-05,0.0
544,98282,-0.0029,-9.7,-11.9,-15.7,-2.13138,-2.03262,-0.0148682,0.0223226,181,6.16452e-06,1.09295e-06,0.000112085,0.0
548,99006,-0.0246666666667,-9.6,-10.9,-11.8,-2.07549,-2.03534,-0.00831028,0.0269115,181,5.81725e-06,9.84968e-07,6.33788e-05,0.0
552,99730,-0.0005,-10.0,-10.9,-13.3,-2.29327,-2.22501,-0.0207744,0.0346764,181,8.90899e-06,1.65988e-06,0.000110116,0.0
556,100454,-0.001,-9.7,-10.8,-9.8,-2.06361,-2.03226,-0.016518,0.0248847,181,3.79534e-06,6.39396e-07,4.75115e-05,0.0
560,101178,-0.0583,-10.1,-11.5,-8.3,-2.12639,-2.04282,-0.020594,0.0360676,181,3.45288e-06,6.23634e-07,6.0838e-05,0.0
564,101902,-0.0025,-10.4,-11.2,-11.6,-2.06755,-2.00392,-0.0144451,0.025567,181,7.21854e-06,1.1117e-06,0.000104136,0.0
568,102626,-0.0125,-10.4,-10.4,-11.3,-2.05134,-2.0186,-0.00221442,0.019115,181,4.54219e-06,8.43942e-07,6.84368e-05,0.0
572,103329,-0.0139,-10.4,-9.7,-7.0,-1.80388,-1.76819,-0.015254,0.0262435,181,6.40197e-06,1.08688e-06,7.5606e-05,0.0
576,104053,-0.0747666666667,-10.5,-10.0,-7.9,-1.86783,-1.82764,-0.00243869,0.0251805,181,8.27403e-06,1.33057e-06,0.000106017,0.0
